GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyDrinkShop,drinkshop.ui,DrinkShopController,880,0,38,0,178,0,51,0,32,0
MyDrinkShop,drinkshop.ui,DrinkShopApp,87,0,0,0,19,0,3,0,3,0
MyDrinkShop,drinkshop.export,CsvExporter,99,0,6,0,19,0,6,0,3,0
MyDrinkShop,drinkshop.receipt,ReceiptGenerator,83,0,4,0,9,0,5,0,3,0
MyDrinkShop,drinkshop.service,OrderService,83,0,0,0,21,0,10,0,10,0
MyDrinkShop,drinkshop.service,ProductService,57,96,8,14,12,22,9,12,5,5
MyDrinkShop,drinkshop.service,StocService,157,0,12,0,40,0,15,0,9,0
MyDrinkShop,drinkshop.service,RetetaService,36,0,0,0,11,0,6,0,6,0
MyDrinkShop,drinkshop.service,DrinkShopService,194,0,2,0,52,0,27,0,26,0
MyDrinkShop,drinkshop.repository,AbstractRepository,12,62,1,3,2,13,2,6,1,5
MyDrinkShop,drinkshop.repository.file,FileAbstractRepository,91,0,4,0,30,0,8,0,6,0
MyDrinkShop,drinkshop.repository.file,FileCategorieRepository,35,0,0,0,9,0,4,0,4,0
MyDrinkShop,drinkshop.repository.file,FileStocRepository,65,0,0,0,16,0,4,0,4,0
MyDrinkShop,drinkshop.repository.file,FileIngredientRepository,42,0,0,0,10,0,4,0,4,0
MyDrinkShop,drinkshop.repository.file,FileOrderRepository,129,0,6,0,26,0,7,0,4,0
MyDrinkShop,drinkshop.repository.file,FileProductRepository,77,0,0,0,18,0,4,0,4,0
MyDrinkShop,drinkshop.repository.file,FileRetetaRepository,97,0,2,0,22,0,6,0,5,0
MyDrinkShop,drinkshop.repository.file,FileTipBauturaRepository,35,0,0,0,9,0,4,0,4,0
MyDrinkShop,drinkshop.domain,Reteta,30,0,0,0,11,0,6,0,6,0
MyDrinkShop,drinkshop.domain,Order,76,0,0,0,24,0,11,0,11,0
MyDrinkShop,drinkshop.domain,TipBautura,49,9,6,0,12,4,10,1,7,1
MyDrinkShop,drinkshop.domain,OrderItem,38,0,0,0,12,0,7,0,7,0
MyDrinkShop,drinkshop.domain,Stoc,59,0,2,0,18,0,11,0,10,0
MyDrinkShop,drinkshop.domain,Ingredient,92,0,10,0,22,0,16,0,11,0
MyDrinkShop,drinkshop.domain,IngredientReteta,30,0,0,0,11,0,6,0,6,0
MyDrinkShop,drinkshop.domain,CategorieBautura,49,9,6,0,12,4,10,1,7,1
MyDrinkShop,drinkshop.domain,Product,34,27,0,0,9,10,7,4,7,4
MyDrinkShop,drinkshop.reports,DailyReportService,19,0,0,0,5,0,3,0,3,0
MyDrinkShop,drinkshop.service.validator,StocValidator,60,0,16,0,15,0,10,0,2,0
MyDrinkShop,drinkshop.service.validator,OrderItemValidator,27,0,6,0,9,0,5,0,2,0
MyDrinkShop,drinkshop.service.validator,ValidationException,0,4,0,0,0,2,0,1,0,1
MyDrinkShop,drinkshop.service.validator,ProductValidator,0,38,1,9,0,11,1,6,0,2
MyDrinkShop,drinkshop.service.validator,OrderValidator,66,0,12,0,18,0,8,0,2,0
MyDrinkShop,drinkshop.service.validator,RetetaValidator,67,0,10,0,15,0,9,0,4,0
